Database;Keyword;Seed keyword;Page;Topic;Page type;Tags;Volume;Keyword Difficulty;CPC (USD);Competitive Density;Number of Results;Intent;SERP Features;Trend;Click potential;Content references;Competitors
at;seo agentur wien;agentur wien;;KI & Automatisierung;;;1600;30;Jul 92;0.08;374000;Commercial;Local Pack, Video, Image, People Also Ask, Related Searches;0.25,0.30,0.55,0.83,0.45,0.30,0.66,1.00,0.83,0.83,0.55,0.34;90;;
at;werbeagentur wien;;;KI & Automatisierung;;;1600;39;Jan 70;0.57;860000;Commercial;Local Pack, Video, Image, People Also Ask, Related Searches;0.68,0.68,0.53,1.00,0.68,0.53,0.46,0.68,0.68,0.68,0.53,0.46;75;;
de;wordpress seo agentur;wordpress agentur;;KI & Automatisierung;;;1600;10;17.22;0.06;126;Informational;Video, Adwords Bottom, Video Carousel, AI Overview, Site Links;0.10,0.79,0.79,0.66,0.41,0.54,1.00,1.00,1.00,0.79,0.79,0.66;20;;
de;ki agenten erstellen;ki agents;;KI & Automatisierung;;;1300;30;Feb 72;0.72;102;Informational;Site Links, Reviews, Adwords Top, Video Carousel, Related Searches, Video, People Also Ask, Adwords Middle, AI Overview;0.52,0.68,0.68,0.68,0.68,0.68,0.52,0.68,1.00,0.84,0.68,0.84;20;;
de;website relaunch agentur;website relaunch;;KI & Automatisierung;;;1300;9;17.21;0.38;105;Informational;Related Searches, Adwords Middle, AI Overview;0.08,0.54,0.54,0.66,0.79,0.54,0.79,1.00,0.66,0.79,0.54,0.54;90;;
at;webdesign agentur wien;agentur wien;;KI & Automatisierung;;;1000;23;Mrz 72;0.11;261000;Commercial;Video, Image, Local Pack;0.81,0.55,0.55,1.00,0.45,0.55,0.55,0.45,0.62,0.55,0.30,1.00;90;;
de;conversion optimierung agentur;conversion optimierung;;KI & Automatisierung;;;880;10;Aug 14;0.22;132;Informational;AI Overview, Reviews, Video;0.20,0.67,0.67,0.76,0.76,1.00,0.76,0.76,0.67,0.76,1.00,0.76;90;;
de;leadgenerierung agentur;leadgenerierung;;KI & Automatisierung;;;880;12;07. Jan;0.21;107;Informational;Site Links, Adwords Top, Related Searches, Adwords Middle, AI Overview;0.05,0.76,1.00,1.00,1.00,1.00,0.67,0.76,0.76,0.67,0.76,1.00;20;;
de;seo agentur kosten;agentur kosten;;KI & Automatisierung;;;880;14;Mai 68;0.23;107;Informational;Related Searches, AI Overview, Site Links, Video, People Also Ask;0.30,1.00,1.00,1.00,1.00,1.00,0.62,0.62,0.55,0.55,0.45,0.55;20;;
de;shopify seo agentur;shopify agentur;;KI & Automatisierung;;;880;23;16.65;0.16;105;Informational;Site Links, Reviews, People Also Ask, Related Searches, AI Overview;0.10,0.76,0.76,0.67,0.45,0.76,0.55,1.00,0.67,0.76,0.67,1.00;20;;
at;agentur;;;KI & Automatisierung;;;720;65;Jan 94;0.12;29900000;Commercial;People Also Ask, Related Searches, Local Pack, Image Pack, Image;0.82,0.82,0.82,1.00,1.00,0.67,0.67,1.00,1.00,1.00,0.82,0.82;60;;
de;b2b online marketing agentur;online marketing agentur;;KI & Automatisierung;;;720;14;15.30;0.06;138;Informational;AI Overview, Video, Related Searches;0.08,0.55,0.67,0.67,0.67,1.00,0.76,1.00,0.67,0.55,0.55,0.76;90;;
de;ki seo agentur;ki agentur;;KI & Automatisierung;;;720;24;17. Jun;0.33;121;Informational;Local Pack, Reviews, Video, Related Searches, AI Overview;0.16,0.16,0.30,0.36,0.45,0.67,0.76,1.00,1.00,1.00,0.76,1.00;90;;
at;marketing agentur;;;KI & Automatisierung;;;720;51;Feb 56;0.33;29400000;Commercial;Local Pack, Video, Image, People Also Ask, Related Searches;0.45,0.45,0.37,1.00,0.45,0.37,0.30,0.37,0.45,0.45,0.30,0.16;75;;
de;seo content agentur;Content;;KI & Automatisierung;;;720;27;32.89;0.33;137;Informational;People Also Ask, Related Searches, Adwords Middle, Local Pack, Reviews, Video;0.08,0.55,0.67,0.67,0.76,1.00,0.76,0.76,0.67,0.67,0.55,0.67;90;;
de;automatisierung von geschäftsprozessen;automatisierung;;KI & Automatisierung;;;590;30;Aug 83;0.22;132;Informational;Video, Adwords Bottom, Video Carousel, AI Overview, Knowledge Panel;0.17,0.72,0.72,0.72,0.88,1.00,1.00,0.88,0.88,0.88,0.72,0.48;70;;
de;geschäftsprozesse automatisieren;geschäftsprozesse automatisieren;;KI & Automatisierung;;;590;27;Jul 70;0.10;130;Informational;Knowledge Panel, Site Links, Reviews, Video, Video Carousel, People Also Ask, AI Overview;0.07,0.88,0.88,0.88,0.88,0.59,0.72,0.72,0.72,0.72,0.59,1.00;20;;
at;google ads agentur österreich;agentur österreich;;KI & Automatisierung;;;590;11;0.00;0.03;670000;Commercial;Local Pack, Related Searches;0.34,0.17,0.09,0.09,0.09,0.09,0.25,0.09,1.00,0.09,0.11,0.11;90;;
de;google analytics agentur;google analytics;;KI & Automatisierung;;;590;13;Nov 91;0.16;5180000;Informational, Commercial;Related Searches;0.03,0.15,0.13,0.13,0.19,0.10,0.15,0.13,0.13,0.13,0.10,0.13;90;;
de;inbound marketing agentur;marketing agentur;;KI & Automatisierung;;;590;20;Apr 93;0.15;135;Informational, Commercial;People Also Ask, Related Searches, Local Pack, Video;0.14,1.00,1.00,1.00,0.88,1.00,1.00,1.00,0.88,0.88,0.72,1.00;90;;
de;ki berater;ki beratung;;KI & Automatisierung;;;590;30;Aug 78;0.59;19800000;Informational;Adwords Bottom, People Also Ask, Knowledge Panel, Video Carousel, Related Searches, Adwords Middle, AI Overview, Site Links, Video;0.67,0.76,0.76,0.45,0.67,0.45,0.36,0.36,0.55,0.30,1.00,0.45;20;;
de;künstliche intelligenz für unternehmen;künstliche intelligenz unternehmen;;KI & Automatisierung;;;590;21;Jul 39;0.38;130;Informational;Related Searches, AI Overview, Reviews, Video, Video Carousel, People Also Ask;0.23,0.67,0.81,1.00,0.54,0.81,0.81,0.67,0.54,0.44,0.54,0.44;90;;
de;linkedin marketing agentur;marketing agentur;;KI & Automatisierung;;;590;14;17.54;0.45;107;Informational;Reviews, Video, People Also Ask, Related Searches, Adwords Middle;0.07,0.72,0.88,0.88,0.32,1.00,0.48,0.48,0.48,0.72,0.59,0.72;90;;
at;marketing agentur wien;;;KI & Automatisierung;;;590;40;Feb 24;0.40;3000000;Commercial;Video, Image, Related Searches, Local Pack;0.30,0.20,0.30,1.00,0.37,0.37,0.37,0.45,0.45,0.45,0.30,0.20;90;;
de;responsive webdesign agentur;webdesign agentur;;KI & Automatisierung;;;590;10;0.00;0.02;416000;Informational, Commercial;Local Pack, Video;0.01,0.18,0.18,0.16,0.16,0.18,0.18,0.18,0.18,0.16,0.13,0.16;90;;
de;website erstellen lassen agentur;website erstellen lassen;;KI & Automatisierung;;;590;29;Jul 24;0.36;106;Informational;Adwords Bottom, People Also Ask, Related Searches, AI Overview;0.16,0.55,0.55,0.55,0.76,0.76,0.76,0.76,0.55,0.67,1.00,0.67;90;;
de;agentur content marketing;Content;;KI & Automatisierung;;;480;17;Apr 42;0.03;142;Informational;Site Links, Video, Related Searches, AI Overview;0.12,0.67,0.67,0.67,0.67,1.00,0.54,0.67,0.54,0.44,0.36,0.54;20;;
de;b2b leadgenerierung agentur;leadgenerierung;;KI & Automatisierung;;;480;17;15. Sep;0.16;107;Informational;Adwords Bottom, People Also Ask, Related Searches, AI Overview;0.09,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.66,0.81,0.66,0.66;90;;
de;conversion rate optimierung agentur;conversion optimierung;;KI & Automatisierung;;;480;10;10. Apr;0.41;139;Informational;Video, AI Overview, Reviews;0.02,0.54,0.66,0.81,0.66,1.00,0.81,0.81,0.54,0.66,0.66,0.81;90;;
de;künstliche intelligenz agentur;künstliche intelligenz;;KI & Automatisierung;;;480;28;Aug 41;0.67;108;Informational;AI Overview, People Also Ask, Related Searches;0.44,0.54,0.54,1.00,0.66,0.54,0.54,0.81,1.00,0.81,0.81,0.81;90;;
de;shopify plus agentur;shopify agentur;;KI & Automatisierung;;;480;6;13.00;0.48;107;Informational;Reviews, AI Overview;0.19,0.81,1.00,0.81,0.54,1.00,1.00,1.00,0.81,0.66,0.66,0.81;90;;
de;social media agentur b2b;social media agentur;;KI & Automatisierung;;;480;5;10. Sep;0.31;139;Informational;Reviews, Video, AI Overview;0.09,0.66,0.54,0.66,0.66,1.00,0.81,0.81,0.81,0.66,0.54,0.66;90;;
at;website agentur;;;KI & Automatisierung;;;480;45;Jun 41;0.23;112;Commercial;Local Pack, Image Pack, Video, People Also Ask, Related Searches;0.21,0.11,0.14,1.00,0.11,0.17,0.14,0.17,0.17,0.14,0.07,0.04;75;;
de;wordpress wartung agentur;wordpress agentur;;KI & Automatisierung;;;480;10;Apr 58;0.14;257000;Informational;Video, Related Searches, AI Overview;0.06,0.67,0.76,0.67,0.55,0.67,0.76,1.00,0.67,0.67,0.55,0.67;90;;
de;agentur für content marketing;Content;;KI & Automatisierung;;;390;24;0.00;0.15;143;Commercial;Local Pack, Site Links, Reviews, Video, People Also Ask, Related Searches, Adwords Middle;0.09,0.66,0.66,0.81,0.81,1.00,0.66,0.66,0.44,0.44,0.44,0.54;20;;
de;automatisierung von prozessen;automatisierung;;KI & Automatisierung;;;390;23;7.00;0.38;131;Informational;Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.44,0.81,0.81,0.66,0.44,1.00,0.29,0.66,0.54,0.44,0.29,0.29;20;;
de;content creation agentur;Content;;KI & Automatisierung;;;390;10;Mai 62;0.16;133;Informational;People Also Ask, Related Searches, Local Pack, Reviews, Video, Adwords Top, Adwords Bottom;0.04,0.72,0.59,0.48,0.32,0.32,0.39,0.48,0.48,0.39,0.59,1.00;90;;
de;digitale prozessautomatisierung;prozessautomatisierung;;KI & Automatisierung;;;390;18;Mrz 88;0.33;184;Informational;AI Overview, Site Links, Reviews, Video, People Also Ask;0.03,0.66,0.81,0.81,1.00,1.00,1.00,1.00,0.66,0.81,0.66,0.81;20;;
de;full service online marketing agentur;online marketing agentur;;KI & Automatisierung;;;390;10;0.00;0.07;108;Informational;Video, Related Searches, AI Overview, Local Pack;0.15,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.54,0.36,0.54;90;;
de;ki agent design;ki agents;;KI & Automatisierung;;;390;26;0.00;0.00;62100000;Informational;Video, Video Carousel, Related Searches, AI Overview;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;90;;
de;ki im content marketing;ki marketing;;KI & Automatisierung;;;390;24;Feb 87;0.66;131;Informational;Video Carousel, Related Searches, AI Overview, Site Links, Reviews, Video, Adwords Bottom;0.10,1.00,1.00,0.81,0.54,0.66,0.81,0.81,0.81,1.00,1.00,1.00;20;;
de;ki lösungen für unternehmen;ki für unternehmen;;KI & Automatisierung;;;390;27;Jul 55;0.49;14400;Informational, Commercial;Video, Adwords Bottom, People Also Ask, Related Searches, AI Overview;0.19,0.66,0.66,0.66,0.81,1.00,1.00,0.81,0.66,0.54,1.00,0.81;90;;
de;ki schulung pflicht;ki schulung;;KI & Automatisierung;;;390;26;03. Feb;0.80;124;Informational;Adwords Bottom, People Also Ask, Related Searches, Adwords Middle, AI Overview, Video;0.54,0.81,1.00,0.81,0.44,0.54,0.54,0.54,0.44,0.35,0.18,0.18;90;;
de;ki tools für unternehmen;ki für unternehmen;;KI & Automatisierung;;;390;20;Mai 87;0.36;125;Informational;Video Carousel, People Also Ask, Related Searches, Adwords Middle, AI Overview, Site Links, Reviews, Video;0.12,0.54,0.66,0.54,0.54,0.81,0.81,0.81,0.66,0.29,1.00,1.00;20;;
at;werbeagentur österreich;;;KI & Automatisierung;;;390;33;Feb 24;0.29;120;Commercial;Local Pack, Video, People Also Ask;0.66,0.44,0.36,1.00,0.36,0.44,0.36,0.54,0.66,0.36,0.19,0.12;75;;
de;wordpress website agentur;wordpress agentur;;KI & Automatisierung;;;390;21;22.87;0.15;133;Informational;AI Overview, Site Links, Video, Related Searches, Adwords Middle;0.09,0.81,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.54,0.54;20;;
at;agentur wien;;;KI & Automatisierung;;;320;43;Jan 61;0.52;119;Commercial;Local Pack, Video, Related Searches;0.54,0.54,0.54,1.00,0.67,0.44,0.29,0.54,0.54,0.67,0.35,0.29;75;;
de;automatisierung geschäftsprozesse;automatisierung;;KI & Automatisierung;;;320;27;Aug 83;0.22;1580000;Informational;Video, Image, People Also Ask, AI Overview, Knowledge Panel, Site Links;0.29,0.81,1.00,0.81,0.44,0.54,0.66,0.36,0.29,0.29,0.19,0.29;20;;
de;can claude generate images;claude;;KI & Automatisierung;;;320;30;Jan 56;0.04;119;Informational;Video, Image, People Also Ask, Related Searches, AI Overview, Site Links;0.59,1.00,0.02,0.02,0.21,0.11,0.07,0.21,0.39,0.59,0.48,0.48;20;;
at;design agentur;;;KI & Automatisierung;;;320;54;Jan 72;0.16;124;Commercial;Local Pack, Related Searches;0.44,0.35,0.35,0.67,1.00,0.67,1.00,1.00,0.44,0.35,0.54,0.19;75;;
de;ki implementierung;ki implementierung;;KI & Automatisierung;;;320;26;Apr 32;0.48;130;Informational;Related Searches, AI Overview, Site Links, Reviews, Video, People Also Ask;0.18,0.81,1.00,0.66,0.81,0.81,0.43,0.66,0.54,0.66,0.66,0.81;20;;
de;ki-berater;ki beratung;;KI & Automatisierung;;;320;20;Aug 64;0.51;135;Informational;Knowledge Panel, Site Links, Reviews, Adwords Top, Related Searches, AI Overview, Video, Adwords Bottom, Video Carousel, People Also Ask;0.01,0.16,0.16,1.00,0.03,0.01,0.10,0.04,0.30,0.30,0.30,0.20;20;;
at;kommunikationsagentur wien;;;KI & Automatisierung;;;320;56;02. Aug;0.42;123;Commercial;People Also Ask, Related Searches, Local Pack, Reviews, Video;0.36,0.30,0.24,1.00,0.30,0.24,0.16,0.30,0.30,0.30,0.36,0.30;75;;
de;künstliche intelligenz lebenslauf;künstliche intelligenz;;KI & Automatisierung;;;320;28;Feb 24;0.75;128;Informational;Reviews, Video, Video Carousel, Related Searches, AI Overview;0.81,0.12,0.12,0.54,0.29,0.44,0.36,0.66,0.66,0.66,0.36,0.44;90;;
de;künstliche intelligenz lösungen;künstliche intelligenz;;KI & Automatisierung;;;320;15;Feb 47;0.49;137;Informational;Site Links, Video, People Also Ask, Related Searches, AI Overview;0.54,0.29,0.29,1.00,0.36,0.44,0.23,0.44,0.44,0.66,0.54,0.44;20;;
de;lead generierung agentur;lead generierung agentur;;KI & Automatisierung;;;320;16;Jun 51;0.19;426000;Informational, Commercial;Adwords Bottom, Related Searches, Adwords Middle, AI Overview;0.35,0.81,0.81,0.81,1.00,0.81,0.44,0.81,0.66,0.66,0.66,0.66;90;;
at;online agentur;;;KI & Automatisierung;;;320;24;Apr 47;0.21;128;Commercial;Local Pack, Video, Adwords Bottom, People Also Ask, Related Searches, Knowledge Panel;0.32,0.14,0.26,1.00,0.17,0.21,0.21,0.26,0.17,0.14,0.04,0.05;70;;
de;prozess automatisierung;automatisierung;;KI & Automatisierung;;;320;30;Apr 76;0.43;132;Informational;Video Carousel, People Also Ask, Related Searches, AI Overview, Knowledge Panel, Site Links, Reviews, Video;0.23,0.54,0.54,0.54,0.66,0.54,0.66,0.66,0.54,0.66,0.54,0.35;20;;
de;sea agentur kosten;agentur kosten;;KI & Automatisierung;;;320;13;0.00;0.04;104;Informational;Reviews, Video, Featured Snippet, People Also Ask, Related Searches;0.14,0.81,0.81,0.66,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81;80;;
at;suchmaschinenoptimierung agentur wien;agentur wien;;KI & Automatisierung;;;320;22;0.00;0.33;112;Commercial;People Also Ask, Related Searches, Local Pack, Reviews, Video;0.21,0.39,0.21,0.21,0.21,0.21,0.59,1.00,0.21,0.21,0.11,0.09;90;;
de;agentur conversion optimierung;conversion optimierung;;KI & Automatisierung;;;260;9;0.00;0.06;132;Informational;Video, Adwords Bottom, Related Searches, AI Overview;0.66,0.66,0.66,0.66,0.82,1.00,0.82,0.82,0.66,0.82,0.82,0.82;90;;
de;automatisierung marketing;automatisierung;;KI & Automatisierung;;;260;30;20.47;0.25;128;Informational;People Also Ask, Related Searches, AI Overview, Knowledge Panel, Reviews, Video, Adwords Bottom, Video Carousel;0.06,0.81,0.66,0.66,1.00,1.00,0.81,0.54,0.35,0.29,0.43,0.35;70;;
de;b2b social media agentur;social media agentur;;KI & Automatisierung;;;260;6;Okt 31;0.08;127;Informational, Commercial;People Also Ask;0.14,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81;90;;
at;digitalagentur wien;;;KI & Automatisierung;;;260;55;Mrz 41;0.16;106;Commercial;Related Searches, Local Pack;0.14,0.07,0.09,1.00,0.21,0.17,0.09,0.17,0.11,0.26,0.14,0.05;75;;
at;full service online marketing agentur;marketing agentur;;KI & Automatisierung;;;260;19;0.00;0.00;119;Informational;Local Pack, Reviews, Video, People Also Ask, Related Searches;0.15,0.67,0.29,1.00,0.29,0.15,0.82,0.15,0.29,0.44,0.15,0.15;90;;
at;google ads agentur wien;agentur wien;;KI & Automatisierung;;;260;12;37.04;0.44;98;Commercial;Local Pack, Reviews, Related Searches;0.29,0.12,0.15,0.81,0.24,0.19,0.66,1.00,0.81,0.81,0.19,0.08;90;;
de;intelligente automatisierung;automatisierung;;KI & Automatisierung;;;260;14;Mrz 61;0.10;193;Informational;Video, People Also Ask, AI Overview, Site Links;0.23,1.00,1.00,0.54,0.81,0.66,0.28,0.66,0.54,0.23,0.54,0.44;20;;
de;ki schulung für mitarbeiter;ki schulung;;KI & Automatisierung;;;260;14;Jul 27;0.76;136;Informational;AI Overview, Video, People Also Ask, Related Searches;0.22,0.35,0.35,0.54,0.54,0.66,0.66,1.00,0.54,0.81,0.66,1.00;90;;
de;ki strategie beratung;ki beratung;;KI & Automatisierung;;;260;8;Aug 83;0.13;130;Informational;AI Overview, Reviews, Video, People Also Ask, Related Searches;0.08,0.81,0.66,0.66,0.81,0.66,0.81,0.66,0.66,0.43,0.66,1.00;90;;
de;ki-lösungen für unternehmen;ki für unternehmen;;KI & Automatisierung;;;260;27;Jul 55;0.49;64700000;Informational, Commercial;Video, People Also Ask, Related Searches, Adwords Middle, AI Overview;0.08,0.54,0.81,0.66,0.54,1.00,0.81,0.66,0.28,0.54,0.54,0.54;90;;
de;kosten seo agentur;agentur kosten;;KI & Automatisierung;;;260;5;Mai 68;0.23;108;Informational;Related Searches, AI Overview, Site Links, Video, People Also Ask;1.00,0.54,0.54,0.66,0.43,0.66,0.66,0.66,0.43,0.43,0.43,0.54;20;;
at;kreativagentur wien;;;KI & Automatisierung;;;260;56;Jan 80;0.59;114;Commercial;Local Pack, Image Pack, Video, Related Searches;0.29,0.24,0.24,1.00,0.36,0.24,0.15,0.19,0.44,0.44,0.19,0.19;75;;
de;künstliche intelligenz flyer erstellen;künstliche intelligenz;;KI & Automatisierung;;;260;20;0.83;0.78;100;Informational;AI Overview, Video, People Also Ask;0.81,0.22,0.43,0.66,0.43,0.81,0.54,0.54,0.54,0.81,0.66,1.00;90;;
at;seo agentur österreich;agentur österreich;;KI & Automatisierung;;;260;29;Jul 49;0.11;106;Commercial;Local Pack, Video;0.29,0.15,0.12,1.00,0.24,0.54,0.29,0.19,0.29,0.29,0.07,0.04;90;;
de;agentur für google ads;google ads;;KI & Automatisierung;;;210;24;42.26;0.44;137;Informational, Commercial;Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview;0.18,0.54,0.54,0.44,0.66,1.00,0.54,0.54,0.66,0.66,0.66,0.81;20;;
at;branding agentur;;;KI & Automatisierung;;;210;24;05. Jun;0.44;113;Commercial;Related Searches, Local Pack, Image Pack, Reviews, People Also Ask;1.00,0.54,0.36,0.82,0.82,0.54,0.67,1.00,0.44,0.28,0.13,0.05;75;;
at;branding agentur wien;agentur wien;;KI & Automatisierung;;;210;19;02. Aug;0.30;108;Commercial;Local Pack, Reviews, Related Searches;1.00,0.81,0.44,1.00,0.34,0.28,0.66,0.81,0.81,0.81,0.53,0.53;90;;
de;customer journey agentur;customer journey;;KI & Automatisierung;;;210;14;0.00;0.01;137;Informational;Adwords Top, People Also Ask, Adwords Middle, AI Overview, Video;0.05,0.66,0.53,0.66,0.82,0.82,0.23,1.00,1.00,0.82,0.82,0.82;90;;
de;google ad agentur;google ads;;KI & Automatisierung;;;210;28;18.36;0.32;137;Informational;Knowledge Panel, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview;0.29,0.66,0.66,0.66,0.81,0.81,0.54,0.43,0.43,0.43,0.43,0.54;70;;
de;google ads agentur kosten;agentur kosten;;KI & Automatisierung;;;210;16;09. Mai;0.34;125;Informational;Video Carousel, People Also Ask, Related Searches, Adwords Middle, AI Overview, Site Links, Video, Adwords Bottom;0.23,1.00,0.82,0.82,0.82,0.82,0.82,0.66,0.53,0.53,0.66,0.66;20;;
de;is claude code free;claude;;KI & Automatisierung;;;210;29;Feb 29;0.02;116;Informational;People Also Ask, Related Searches, AI Overview, Site Links, Video, Video Carousel;0.00,0.00,0.36,0.02,0.23,0.23,0.03,0.44,0.54,1.00,0.81,0.67;20;;
de;ki agenten bauen;ki agents;;KI & Automatisierung;;;210;24;Feb 49;0.72;97;Informational;Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links;0.22,0.22,0.81,0.54,0.43,0.35,0.29,0.54,0.66,0.81,0.81,1.00;20;;
de;logo erstellen mit künstlicher intelligenz;künstliche intelligenz;;KI & Automatisierung;;;210;30;0.86;0.90;99000000;Informational;Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video;0.35,0.17,0.53,0.43,0.53,0.66,0.53,0.53,0.43,0.43,0.35,0.43;20;;
at;wien design agentur;;;KI & Automatisierung;;;210;48;Jan 83;0.63;50;Commercial;Local Pack, Reviews, Related Searches;0.36,0.23,0.36,1.00,0.67,0.44,0.54,0.67,0.54,0.82,0.44,0.23;90;;
at;wordpress agentur wien;agentur wien;;KI & Automatisierung;;;210;16;Apr 68;0.19;106;Commercial;Knowledge Panel, People Also Ask, Related Searches;0.35,0.19,0.19,1.00,0.29,0.35,0.29,0.29,0.29,0.44,0.23,0.10;70;;
de;workflow-automatisierung;automatisierung;;KI & Automatisierung;;;210;30;Sep 49;0.45;134;Informational;Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask;0.28,1.00,1.00,1.00,1.00,0.82,1.00,1.00,0.28,0.53,0.53,0.35;20;;
de;automatisierung definition;automatisierung;;KI & Automatisierung;;;170;29;0.00;0.01;119;Informational;Site Links, Reviews, Video, People Also Ask, AI Overview;0.53,0.43,0.28,0.43,0.43,0.43,0.35,0.35,0.43,0.43,0.43,0.28;20;;
de;b2b inbound marketing agentur;marketing agentur;;KI & Automatisierung;;;170;13;Apr 93;0.15;393000;Informational;Related Searches, Adwords Middle, AI Overview, Video;0.02,0.81,1.00,0.66,0.54,0.35,0.35,0.43,0.29,0.43,0.22,0.29;90;;
de;content marketing agentur b2b;marketing agentur;;KI & Automatisierung;;;170;11;0.00;0.33;139;Informational;Site Links, Video, People Also Ask, AI Overview;0.06,0.65,0.65,0.65,0.65,0.65,0.65,0.81,0.81,0.81,0.81,1.00;20;;
de;content marketing ki;ki marketing;;KI & Automatisierung;;;170;18;0.00;0.03;131;Informational;Related Searches, AI Overview, Knowledge Panel, Video, Video Carousel, People Also Ask;0.11,0.80,1.00,0.65,0.65,0.80,0.80,1.00,0.65,0.80,0.65,0.80;70;;
de;intelligente prozessautomatisierung;prozessautomatisierung;;KI & Automatisierung;;;170;25;Apr 40;0.15;196;Informational;Video, People Also Ask, Related Searches, AI Overview, Site Links;0.05,0.82,1.00,0.82,0.43,1.00,1.00,1.00,0.82,0.66,0.66,0.53;20;;
de;ki content erstellung;content erstellung ki;;KI & Automatisierung;;;170;14;03. Dez;0.56;124;Informational;AI Overview, Site Links, Video, Video Carousel, Related Searches;0.03,0.35,0.54,0.66,0.66,0.66,0.44,0.54,0.54,0.66,1.00,1.00;20;;
de;ki im unternehmen einführen;ki im unternehmen einführen;;KI & Automatisierung;;;170;22;Mai 82;0.60;125;Informational;AI Overview, Video, Adwords Top, Adwords Bottom, Video Carousel, People Also Ask, Related Searches;0.17,0.66,0.43,0.53,0.53,0.53,0.35,0.53,0.53,0.53,0.66,1.00;90;;
de;ki workshop für unternehmen;ki für unternehmen;;KI & Automatisierung;;;170;15;10. Nov;0.52;137;Informational;Reviews, Video, People Also Ask, Related Searches, AI Overview, Site Links;0.15,0.80,1.00,0.80,0.53,0.42,0.42,0.65,0.80,1.00,1.00,0.65;20;;
de;ki-agenten erstellen;ki agents;;KI & Automatisierung;;;170;29;03. Jun;0.79;119;Informational, Commercial;AI Overview, Video, Adwords Top, Video Carousel, People Also Ask, Related Searches, Adwords Middle;0.06,0.06,0.06,0.45,0.36,0.03,0.20,0.76,0.45,1.00,0.67,0.76;75;;
de;künstliche intelligenz grafik;künstliche intelligenz;;KI & Automatisierung;;;170;24;0.63;0.22;122;Informational;Video, People Also Ask, Related Searches, Image Pack;0.65,0.43,0.43,0.53,0.65,0.53,0.43,0.65,0.53,0.65,0.43,0.43;90;;
de;leadgenerierung b2b agentur;leadgenerierung;;KI & Automatisierung;;;170;18;0.00;0.08;108;Informational;Site Links, Adwords Top, Related Searches, Adwords Middle, AI Overview;0.07,0.65,0.65,0.80,0.80,1.00,1.00,0.80,0.65,0.53,0.53,0.42;20;;
de;marketing-automatisierung;automatisierung;;KI & Automatisierung;;;170;26;Aug 80;0.20;132;Informational;People Also Ask, Related Searches, AI Overview, Knowledge Panel, Video, Video Carousel;0.08,0.54,0.54,0.54,0.54,0.81,1.00,0.66,0.22,0.18,0.29,0.29;70;;
at;marketingagenturen;;;KI & Automatisierung;;;170;22;Mrz 24;0.29;138;Commercial;Local Pack, Video, People Also Ask, Related Searches, Adwords Middle;0.65,0.54,0.54,0.54,1.00,0.15,0.54,0.54,0.81,0.54,0.42,0.27;60;;
at;werbeagentur wiener neustadt;;;KI & Automatisierung;;;170;19;Jan 71;0.64;50200;Commercial;Related Searches, Local Pack, Video, Image;0.02,0.05,0.05,1.00,0.02,0.04,0.02,0.02,0.02,0.13,0.02,0.11;90;;
de;agentic ki;ki agents;;KI & Automatisierung;;;140;30;Mrz 45;0.56;121;Informational;Adwords Bottom, People Also Ask, Knowledge Panel, Site Links, Video, Video Carousel, Related Searches, Adwords Middle, AI Overview;0.19,0.65,0.65,0.53,0.42,0.53,0.19,0.42,0.80,1.00,0.80,0.80;20;;
de;b2b digital marketing agentur;marketing agentur;;KI & Automatisierung;;;140;16;0.00;0.31;1760000;Informational;Video, Adwords Top, Related Searches, Adwords Middle, AI Overview;0.07,0.65,0.65,0.80,0.80,1.00,1.00,1.00,0.80,0.65,0.80,0.80;90;;
de;b2b marketing automation agentur;marketing agentur;;KI & Automatisierung;;;140;10;0.00;0.33;126;Informational;AI Overview, Video, Adwords Bottom, Related Searches;0.04,0.66,1.00,0.54,0.54,0.35,0.29,0.35,0.18,0.54,0.22,0.18;90;;
de;definition automatisierung;automatisierung;;KI & Automatisierung;;;140;27;Jan 42;0.03;117;Informational;AI Overview, Site Links, Video, People Also Ask, Related Searches;0.16,0.10,0.10,0.13,0.13,0.10,0.10,0.08,0.13,0.10,0.13,0.08;20;;
at;digital agentur wien;;;KI & Automatisierung;;;140;39;Mai 53;0.28;2760000;Commercial;Local Pack, Video, Image, Related Searches;0.34,0.12,0.16,1.00,0.22,0.28,0.16,0.34,0.44,0.66,0.34,0.22;90;;
